YEAR,CONAME,SALES,ROEPER,ROA,MKTVAL,GVKEY,TICKER,EXEC_FULLNAME,TITLEANN,SALARY,BONUS,TDC1,RSTKGRNT,OPTION_AWARDS_BLK_VALUE,Majority_Independent,Nom,CG,Comp,Audit
2001,AGILENT TECHNOLOGIES INC,8396,-7.174,-5.084,10258.386,126554,A,Edward W. Barnholt,president & CEO,941.6660000000001,0,23804.955,0,22856.489,1,0,0,1,1
2002,AGILENT TECHNOLOGIES INC,6010,-22.088,-12.459,6417.208,126554,A,Edward W. Barnholt,"chairman, president & CEO",925,0,14842.894,0,13909.894,1,1,1,1,0
2003,AGILENT TECHNOLOGIES INC,6056,-63.385,-28.426,11849.659,126554,A,Edward W. Barnholt,"chairman, president & CEO",1000,333.45,7882.188,0,6540.738,1,1,1,0,0
2004,AGILENT TECHNOLOGIES INC,7181,9.779,4.946,12169.286,126554,A,Edward W. Barnholt,CEO,1000,1503.905,5273.67,0,2761.565,1,1,1,0,0
2005,AGILENT TECHNOLOGIES INC,5139,3.455,2.089,15818.638,126554,A,William P. Sullivan,president & CEO,783.333,773.083,3475.532,0,1910.716,1,1,1,0,0
2004,AIRTRAN HOLDINGS INC,1041.422,3.669,1.353,917.29,030399,AAI,Joseph B. Leonard,chairman & CEO,405.769,600,5673.769,4668,0,1,0,0,0,0
2005,AIRTRAN HOLDINGS INC,1450.544,2.268,.696,1407.707,030399,AAI,Joseph B. Leonard,chairman & CEO,467.308,523,990.308,0,0,1,0,0,0,0
2005,ADVANCE AUTO PARTS INC,4264.971,25.52,9.233000000000001,4701.372,145977,AAP,Michael N. Coppola,president & CEO,634.622,770.849,4833.719,0,3411.069,1,0,0,0,0
2000,APPLE INC,7983,19.499,11.554,8367.951999999999,001690,AAPL,Steven P. Jobs,CEO,.001,0,600347.351,0,600347.35,1,0,0,0,0
2001,APPLE INC,5363,-.944,-.615,5441.094,001690,AAPL,Steven P. Jobs,CEO,.001,43511.534,83996.129,0,0,0,0,0,0,0
2002,APPLE INC,5742,1.587,1.032,5203.847,001690,AAPL,Steven P. Jobs,CEO,.001,2268.698,93016.179,0,89444.685,1,0,0,0,0
2003,APPLE INC,6207,1.61,.998,7511.021,001690,AAPL,Steven P. Jobs,CEO,.001,0,74750.001,74750,0,1,1,1,1,0
2004,APPLE INC,8279,5.437,3.429,15032.094,001690,AAPL,Steven P. Jobs,CEO,.001,0,.001,0,0,1,1,1,1,1
2005,APPLE INC,13931,17.881,11.557,44487.133,001690,AAPL,Steven P. Jobs,CEO,.001,0,.001,0,0,1,0,0,0,0
2002,AMERISOURCEBERGEN CORP,45234.794,10.401,3.076,7563.164,031673,ABC,R. David Yost,CEO,662.473,694.7,5311.22,0,3954.047,1,0,0,0,0
2003,AMERISOURCEBERGEN CORP,49657.328,11.016,3.665,6048.195,031673,ABC,R. David Yost,CEO,960.35,995,4851.107,0,2895.757,1,1,1,1,1
2004,AMERISOURCEBERGEN CORP,53178.954,10.795,4.019,6039.045,031673,ABC,R. David Yost,CEO,1039.01,501.48,3718.657,0,2169.967,1,0,0,0,0
2005,AMERISOURCEBERGEN CORP,54577.321,6.82,2.565,8023.508,031673,ABC,R. David Yost,CEO,1044.75,731.325,3717.812,0,1933.337,1,1,1,0,0
2000,ANCHOR BANCORP WISCONSIN INC,242.15,12.284,.863,318.07,025570,ABCW,Douglas J. Timmerman,president & CEO,473.75,106,841.813,45.188,173.618,1,0,0,0,0
2001,ANCHOR BANCORP WISCONSIN INC,247.316,13.105,1.037,498.867,025570,ABCW,Douglas J. Timmerman,president & CEO,491.246,150.256,990.606,45.6,264.219,1,0,0,0,0
